step 6660 dis: 0.0363289900124073,reward: 0.02593078836798668, std: 0.1
step 6659 dis: 0.037812069058418274,reward: 0.023186426609754562, std: 0.1
step 6661 dis: 0.03625776246190071,reward: 0.026038294658064842, std: 0.1
step 6660 dis: 0.03773605823516846,reward: 0.025031737983226776, std: 0.1
step 6662 dis: 0.03675491362810135,reward: 0.02868272364139557, std: 0.1
step 6661 dis: 0.03769491985440254,reward: 0.024113774299621582, std: 0.1
step 6663 dis: 0.036766886711120605,reward: 0.030545005574822426, std: 0.1
step 6662 dis: 0.03784991055727005,reward: 0.025583408772945404, std: 0.1
step 6664 dis: 0.03700670972466469,reward: 0.025062622502446175, std: 0.1
step 6663 dis: 0.038070954382419586,reward: 0.025744788348674774, std: 0.1
step 6665 dis: 0.036939725279808044,reward: 0.02850005403161049, std: 0.1
step 6666 dis: 0.036202117800712585,reward: 0.031071752309799194, std: 0.1
step 6664 dis: 0.037881940603256226,reward: 0.0226086787879467, std: 0.1
step 6667 dis: 0.036695193499326706,reward: 0.0308848824352026, std: 0.1
step 6665 dis: 0.038020581007003784,reward: 0.023396026343107224, std: 0.1
step 6666 dis: 0.037605684250593185,reward: 0.025622349232435226, std: 0.1
step 6668 dis: 0.0367366299033165,reward: 0.033415332436561584, std: 0.1
step 6667 dis: 0.037426553666591644,reward: 0.02652096375823021, std: 0.1
step 6669 dis: 0.036961629986763,reward: 0.03409281373023987, std: 0.1
step 6668 dis: 0.037590816617012024,reward: 0.029151037335395813, std: 0.1
step 6670 dis: 0.03731504827737808,reward: 0.030357617884874344, std: 0.1
step 6669 dis: 0.03765051066875458,reward: 0.026124434545636177, std: 0.1
step 6671 dis: 0.03766417130827904,reward: 0.031977422535419464, std: 0.1
step 1 dis: 0.25253990292549133,reward: 0.012955112382769585, std: 0.1
step 1 dis: 0.2531418204307556,reward: 0.012828471139073372, std: 0.1
step 2 dis: 0.24742576479911804,reward: 0.014455579221248627, std: 0.1
step 2 dis: 0.24839499592781067,reward: 0.014170171692967415, std: 0.1
step 3 dis: 0.2446134090423584,reward: 0.01531702745705843, std: 0.1
step 3 dis: 0.24339589476585388,reward: 0.015779944136738777, std: 0.1
step 4 dis: 0.24318650364875793,reward: 0.01580018922686577, std: 0.1
step 4 dis: 0.24124126136302948,reward: 0.01645869016647339, std: 0.1
step 5 dis: 0.24073170125484467,reward: 0.01658596098423004, std: 0.1
step 5 dis: 0.24130171537399292,reward: 0.016544220969080925, std: 0.1
step 6 dis: 0.24029341340065002,reward: 0.016884151846170425, std: 0.1
step 6 dis: 0.2404051423072815,reward: 0.016873251646757126, std: 0.1
step 7 dis: 0.24005207419395447,reward: 0.016860101372003555, std: 0.1
